, 432.3, 187424
auto-inc-dec, 432.5, 187456
branch-count-reg, 431.7, 187464
combine-stack-adjustments, 442.4, 187480
compare-elim, 438.7, 187456
cprop-registers, 435.1, 187464
dce, 437.4, 187440
defer-pop, 433.8, 187448
delayed-branch, 436.5, 187464
dse, 436.2, 187440
forward-propagate, 455.2, 187464
guess-branch-probability, 453.9, 187480
if-conversion, 459.9, 187456
if-conversion2, 455.5, 187464
inline-functions-called-once, 452.6, 187488
ipa-profile, 478.4, 187504
ipa-pure-const, 468.8, 187424
ipa-reference, 458.7, 187456
ipa-reference-addressable, 461.9, 187480
merge-constants, 463.0, 187464
move-loop-invariants, 497.7, 187472
omit-frame-pointer, 428.1, 187496
reorder-blocks, 453.0, 187464
shrink-wrap, 454.6, 187456
shrink-wrap-separate, 453.4, 187472
split-wide-types, 452.2, 187464
ssa-backprop, 453.1, 187456
ssa-phiopt, 465.0, 187456
tree-bit-ccp, 452.5, 187456
tree-ccp, 457.1, 187448
tree-ch, 456.5, 187448
tree-coalesce-vars, 448.1, 187592
tree-copy-prop, 453.1, 187464
tree-dce, 451.1, 187448
tree-dominator-opts, 467.8, 187472
tree-dse, 457.8, 187448
tree-forwprop, 452.9, 187456
tree-fre, 457.1, 187448
tree-phiprop, 472.8, 187456
tree-pta, 449.2, 187448
tree-scev-cprop, 457.3, 187464
tree-sink, 468.0, 187448
tree-slsr, 478.7, 187448
tree-sra, 455.8, 187448
tree-ter, 448.8, 186264
unit-at-a-time, 451.6, 187464
